0000000026,0000001667,073741,069379,088799,069859,078169,078543,093249,034377,023632,023548,034369,093146,014899,037531,038661,084754,077920,-10553,093860,043003,033410,093860,043003,033410,093146,034369,023548,092592,053965,072704,049919,098892,067418
0000000027,0000001733,073967,069254,088720,069633,078294,078623,093116,035296,022830,022741,035285,093012,014175,037642,038276,084642,078644,-10168,093740,043801,032705,093740,043801,032705,093012,035285,022741,093144,054075,072100,049437,098793,067937
0000000028,0000001800,074192,069133,088634,069409,078414,078709,092941,036209,022026,021936,036199,092840,013468,037754,037866,084530,079351,-09758,093589,044598,032004,093589,044598,032004,092840,036199,021936,093679,054201,071490,048969,098679,068461
0000000029,0000001867,074415,069018,088543,069185,078529,078799,092743,037135,021235,021144,037124,092645,012781,037867,037431,084418,080038,-09323,093418,045405,031315,093418,045405,031315,092645,037124,021144,094196,054343,070874,048516,098551,068990
0000000030,0000001933,074637,068908,088447,068964,078639,078895,092528,038075,020479,020385,038063,092430,012113,037980,036972,084304,080706,-08864,093227,046223,030651,093227,046223,030651,092430,038063,020385,094695,054501,070252,048078,098409,069524
0000000031,0000002000,074855,068804,088347,068745,078743,078996,092280,039017,019724,019629,039005,092184,011466,038094,036487,084191,081353,-08379,093011,047045,029993,093011,047045,029993,092184,039005,019629,095175,054674,069626,047656,098253,070062
0000000032,0000002067,075071,068706,088241,068530,078841,079101,092004,039961,018989,018892,039950,091910,010839,038207,035979,084077,081980,-07871,092770,047870,029351,092770,047870,029351,091910,039950,018892,095636,054865,068995,047251,098082,070602
0000000033,0000002133,075283,068614,088131,068318,078933,079211,091714,040929,018278,018178,040916,091620,010234,038321,035446,083963,082585,-07338,092514,048712,028729,092514,048712,028729,091620,040916,018178,096075,055072,068359,046864,097896,071146
0000000034,0000002200,075490,068529,088017,068110,079018,079326,091391,041892,017582,017480,041880,091299,009651,038435,034890,083849,083168,-06782,092231,049554,028120,092231,049554,028120,091299,041880,017480,096494,055295,067721,046494,097695,071693
0000000035,0000002267,075693,068451,087898,067907,079097,079444,091042,042861,016899,016796,042850,090952,009091,038549,034310,083735,083728,-06202,091926,050400,027525,091926,050400,027525,090952,042850,016796,096890,055536,067080,046143,097479,072241
0000000036,0000002333,075892,068379,087776,067709,079168,079567,090674,043842,016245,016139,043831,090584,008554,038663,033706,083622,084265,-05598,091602,051255,026952,091602,051255,026952,090584,043831,016139,097264,055793,066436,045811,097248,072791
0000000037,0000002400,076084,068315,087650,067516,079233,079693,090279,044825,015605,015496,044813,090190,008042,038777,033080,083508,084777,-04972,091256,052112,026392,091256,052112,026392,090190,044813,015496,097615,056067,065791,045499,097003,073342
0000000038,0000002467,076272,068257,087521,067329,079290,079822,089858,045810,014981,014871,045799,089770,007554,038890,032430,083394,085265,-04322,090887,052972,025849,090887,052972,025849,089770,045799,014871,097942,056358,065145,045207,096742,073893
0000000039,0000002533,076453,068207,087389,067147,079341,079954,089418,046802,014385,014272,046792,089329,007092,039003,031758,083281,085727,-03650,090499,053838,025326,090499,053838,025326,089329,046792,014272,098246,056664,064498,044934,096467,074444
0000000040,0000002600,076628,068163,087254,066972,079384,080089,088953,047798,013806,013691,047788,088865,006655,039116,031064,083169,086164,-02956,090091,054707,024821,090091,054707,024821,088865,047788,013691,098526,056987,063852,044682,096178,074995
0000000041,0000002667,076798,068127,087116,066803,079421,080227,088466,048798,013249,013133,048789,088379,006245,039228,030348,083057,086574,-02240,089664,055581,024335,089664,055581,024335,088379,048789,013133,098781,057326,063207,044451,095875,075544
0000000042,0000002733,076960,068098,086975,066640,079449,080367,087966,049818,012722,012603,049809,087879,005862,039340,029610,082945,086957,-01502,089225,056471,023873,089225,056471,023873,087879,049809,012603,099012,057682,062562,044241,095556,076093
0000000043,0000002800,077116,068078,086832,066484,079470,080511,087442,050835,012215,012094,050826,087355,005509,039450,028850,082834,087310,-00742,088765,057358,023430,088765,057358,023430,087355,050826,012094,099218,058055,061919,044052,095222,076640
