0000000026,0000001667,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,064408,033092,073847,032572,066219,031280,088390,040499,034504,088390,040499,034504,086728,031481,024861,096673,064405,073848,059480,095296,080376
0000000027,0000001733,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,064637,033095,073376,032267,065989,031752,088305,041359,033719,088305,041359,033719,086632,032469,023958,096978,064634,073376,059215,095097,080784
0000000028,0000001800,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,064877,033098,072903,031976,065749,032224,088196,042229,032949,088196,042229,032949,086510,033468,023072,097269,064874,072904,058962,094889,081193
0000000029,0000001867,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,065127,033100,072431,031699,065499,032697,088063,043108,032193,088063,043108,032193,086360,034478,022202,097547,065124,072431,058722,094672,081602
0000000030,0000001933,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,065387,033103,071959,031435,065239,033169,087907,043995,031453,087907,043995,031453,086184,035497,021349,097810,065384,071959,058493,094446,082011
0000000031,0000002000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,065657,033106,071488,031186,064969,033640,087728,044890,030728,087728,044890,030728,085981,036525,020514,098059,065654,071488,058277,094212,082419
0000000032,0000002067,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,065937,033108,071017,030952,064689,034111,087526,045792,030018,087526,045792,030018,085751,037562,019697,098293,065934,071017,058073,093969,082827
0000000033,0000002133,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,066226,033110,070548,030732,064400,034580,087300,046701,029325,087300,046701,029325,085494,038607,018900,098513,066223,070548,057882,093717,083233
0000000034,0000002200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,066525,033112,070080,030527,064101,035048,087052,047616,028649,087052,047616,028649,085211,039658,018121,098718,066522,070080,057704,093458,083638
0000000035,0000002267,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,066833,033114,069613,030337,063793,035515,086781,048537,027991,086781,048537,027991,084902,040716,017362,098909,066830,069613,057538,093190,084041
0000000036,0000002333,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,067150,033116,069149,030161,063476,035979,086487,049463,027350,086487,049463,027350,084567,041780,016624,099084,067147,069149,057385,092914,084443
0000000037,0000002400,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,067476,033117,068687,030001,063151,036441,086170,050393,026727,086170,050393,026727,084206,042849,015906,099244,067472,068687,057245,092631,084842
0000000038,0000002467,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,067810,033119,068228,029856,062816,036900,085832,051327,026122,085832,051327,026122,083820,043923,015210,099389,067807,068228,057119,092340,085239
0000000039,0000002533,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,068153,033120,067772,029726,062474,037357,085471,052264,025536,085471,052264,025536,083408,045000,014535,099519,068150,067771,057005,092042,085634
0000000040,0000002600,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,068504,033121,067318,029612,062123,037810,085089,053204,024970,085089,053204,024970,082971,046080,013882,099633,068500,067318,056905,091737,086026
0000000041,0000002667,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,068863,033122,066869,029513,061764,038260,084685,054145,024423,084685,054145,024423,082509,047163,013252,099732,068859,066868,056818,091425,086414
0000000042,0000002733,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,069229,033123,066423,029430,061397,038706,084260,055089,023896,084260,055089,023896,082023,048247,012645,099815,069226,066422,056744,091106,086799
0000000043,0000002800,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,069603,033124,065981,029362,061023,039148,083813,056033,023389,083813,056033,023389,081513,049332,012061,099883,069600,065980,056684,090780,087181
0000000044,0000002867,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,069985,033124,065543,029310,060642,039585,083346,056977,022903,083346,056977,022903,080979,050418,011501,099935,069981,065543,056638,090448,087559
0000000045,0000002933,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,070373,033125,065110,029273,060254,040018,082859,057921,022438,082859,057921,022438,080421,051504,010964,099972,070370,065110,056604,090110,087933
0000000046,0000003000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,070768,033125,064682,029252,059859,040446,082351,058864,021994,082351,058864,021994,079840,052588,010452,099993,070765,064682,056585,089766,088302
0000000047,0000003067,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,071170,033125,064259,029247,059457,040869,081824,059806,021571,081824,059806,021571,079237,053671,009965,099998,071166,064259,056579,089417,088667
0000000048,0000003133,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,071578,033125,063842,029258,059049,041287,081277,060745,021171,081277,060745,021171,078610,054751,009502,099987,071574,063841,056586,089061,089027
0000000049,0000003200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,071991,033125,063430,029284,058635,041699,080711,061682,020792,080711,061682,020792,077962,055828,009065,099961,071988,063429,056607,088701,089382
0000000050,0000003267,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,072411,033124,063024,029326,058215,042105,080126,062615,020435,080126,062615,020435,077293,056901,008653,099920,072408,063023,056641,088335,089732
0000000051,0000003333,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,072836,033124,062624,029383,057790,042505,079522,063545,020101,079522,063545,020101,076602,057970,008268,099862,072833,062623,056689,087965,090077
0000000052,0000003400,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,073266,033123,062231,029456,057360,042898,078901,064470,019789,078901,064470,019789,075890,059034,007908,099789,073263,062230,056750,087590,090416
