0000000001,0000000000,081300,023280,064316
0000000002,0000000067,081814,023683,063489
0000000003,0000000133,082316,024101,062661
0000000004,0000000200,082805,024535,061831
0000000005,0000000267,083268,024999,060999
0000000006,0000000333,083717,025478,060167
0000000007,0000000400,084153,025971,059334
0000000008,0000000467,084561,026493,058503
0000000009,0000000533,084956,027029,057672
0000000010,0000000600,085336,027579,056842
0000000011,0000000667,085688,028156,056014
0000000012,0000000733,086025,028746,055189
0000000013,0000000800,086348,029350,054366
0000000014,0000000867,086641,029979,053548
0000000015,0000000933,086919,030620,052734
0000000016,0000001000,087182,031273,051922
0000000017,0000001067,087415,031950,051118
0000000018,0000001133,087632,032639,050319
0000000019,0000001200,087834,033339,049524
0000000020,0000001267,088005,034061,048738
0000000021,0000001333,088161,034793,047958
0000000022,0000001400,088300,035535,047184
0000000023,0000001467,088409,036297,046422
0000000024,0000001533,088501,037068,045666
0000000025,0000001600,088578,037849,044917
0000000026,0000001667,088623,038647,044182
0000000027,0000001733,088652,039453,043455
0000000028,0000001800,088666,040268,042735
0000000029,0000001867,088647,041097,042031
0000000030,0000001933,088612,041934,041337
0000000031,0000002000,088562,042778,040650
0000000032,0000002067,088480,043634,039983
0000000033,0000002133,088382,044496,039324
0000000034,0000002200,088269,045364,038676
0000000035,0000002267,088123,046242,038047
0000000036,0000002333,087963,047125,037429
0000000037,0000002400,087786,048013,036822
0000000038,0000002467,087579,048908,036236
0000000039,0000002533,087357,049806,035662
0000000040,0000002600,087119,050708,035099
0000000041,0000002667,086851,051615,034560
0000000042,0000002733,086567,052524,034033
0000000043,0000002800,086269,053435,033518
0000000044,0000002867,085942,054349,033028
0000000045,0000002933,085600,055263,032551
0000000046,0000003000,085243,056178,032086
0000000047,0000003067,084858,057093,031648
0000000048,0000003133,084459,058008,031224
0000000049,0000003200,084046,058922,030813
0000000050,0000003267,083605,059833,030430
0000000051,0000003333,083151,060742,030061
0000000052,0000003400,082684,061650,029705
0000000053,0000003467,082191,062552,029379
0000000054,0000003533,081684,063452,029067
0000000055,0000003600,081166,064348,028769
0000000056,0000003667,080622,065236,028501
0000000057,0000003733,080067,066120,028248
0000000058,0000003800,079500,066999,028010
0000000059,0000003867,078909,067869,027803
0000000060,0000003933,078307,068733,027610
0000000061,0000004000,077695,069591,027433
0000000062,0000004067,077061,070436,027286
0000000063,0000004133,076416,071274,027155
0000000064,0000004200,075762,072106,027040
0000000065,0000004267,075087,072923,026955
0000000066,0000004333,074404,073731,026887
0000000067,0000004400,073711,074532,026833
0000000068,0000004467,073000,075315,026812
0000000069,0000004533,072282,076089,026806
0000000070,0000004600,071555,076854,026815
0000000071,0000004667,070812,077599,026856
0000000072,0000004733,070062,078334,026913
0000000073,0000004800,069305,079059,026985
0000000074,0000004867,068534,079762,027089
0000000075,0000004933,067757,080454,027208
0000000076,0000005000,066974,081134,027342
0000000077,0000005067,066180,081791,027508
0000000078,0000005133,065381,082436,027688
0000000079,0000005200,064577,083068,027884
0000000080,0000005267,063763,083676,028111
0000000081,0000005333,062946,084269,028352
0000000082,0000005400,062125,084850,028609
0000000083,0000005467,061298,085404,028895
0000000084,0000005533,060467,085944,029195
0000000085,0000005600,059634,086470,029511
0000000086,0000005667,058797,086967,029855
0000000087,0000005733,057958,087449,030213
0000000088,0000005800,057117,087917,030586
0000000089,0000005867,056275,088355,030986
0000000090,0000005933,055432,088778,031400
0000000091,0000006000,054589,089185,031828
0000000092,0000006067,053747,089561,032282
0000000093,0000006133,052905,089921,032749
0000000094,0000006200,052064,090266,033229
0000000095,0000006267,051226,090578,033734
0000000096,0000006333,050390,090874,034252
0000000097,0000006400,049556,091153,034782
0000000098,0000006467,048728,091400,035336
0000000099,0000006533,047902,091630,035901
0000000100,0000006600,047080,091843,036478
