0000000001,0000000000,088268,017902,066418
0000000002,0000000067,088782,018305,065591
0000000003,0000000133,089284,018724,064762
0000000004,0000000200,089773,019158,063932
0000000005,0000000267,090236,019621,063100
0000000006,0000000333,090685,020100,062268
0000000007,0000000400,091121,020593,061436
0000000008,0000000467,091529,021115,060604
0000000009,0000000533,091924,021651,059773
0000000010,0000000600,092304,022201,058943
0000000011,0000000667,092656,022778,058116
0000000012,0000000733,092993,023368,057291
0000000013,0000000800,093316,023972,056468
0000000014,0000000867,093609,024601,055650
0000000015,0000000933,093887,025242,054835
0000000016,0000001000,094150,025896,054024
0000000017,0000001067,094383,026573,053220
0000000018,0000001133,094600,027261,052420
0000000019,0000001200,094802,027961,051625
0000000020,0000001267,094973,028683,050840
0000000021,0000001333,095129,029415,050060
0000000022,0000001400,095269,030157,049285
0000000023,0000001467,095377,030919,048523
0000000024,0000001533,095469,031691,047767
0000000025,0000001600,095546,032471,047018
0000000026,0000001667,095591,033269,046283
0000000027,0000001733,095620,034076,045556
0000000028,0000001800,095634,034890,044836
0000000029,0000001867,095615,035720,044133
0000000030,0000001933,095581,036556,043438
0000000031,0000002000,095530,037400,042752
0000000032,0000002067,095448,038256,042084
0000000033,0000002133,095350,039118,041426
0000000034,0000002200,095237,039986,040777
0000000035,0000002267,095091,040865,040149
0000000036,0000002333,094931,041748,039531
0000000037,0000002400,094754,042635,038923
0000000038,0000002467,094547,043530,038338
0000000039,0000002533,094325,044429,037763
0000000040,0000002600,094087,045330,037201
0000000041,0000002667,093819,046237,036661
0000000042,0000002733,093535,047146,036134
0000000043,0000002800,093237,048057,035619
0000000044,0000002867,092910,048971,035129
0000000045,0000002933,092568,049885,034652
0000000046,0000003000,092211,050800,034188
0000000047,0000003067,091826,051715,033750
0000000048,0000003133,091427,052630,033325
0000000049,0000003200,091014,053544,032914
0000000050,0000003267,090573,054455,032531
0000000051,0000003333,090119,055365,032162
0000000052,0000003400,089652,056272,031807
0000000053,0000003467,089159,057175,031480
0000000054,0000003533,088653,058074,031168
0000000055,0000003600,088134,058970,030871
0000000056,0000003667,087590,059858,030603
0000000057,0000003733,087035,060742,030350
0000000058,0000003800,086468,061622,030112
0000000059,0000003867,085877,062491,029904
0000000060,0000003933,085276,063355,029711
0000000061,0000004000,084663,064213,029534
0000000062,0000004067,084029,065058,029388
0000000063,0000004133,083384,065897,029257
0000000064,0000004200,082730,066728,029141
0000000065,0000004267,082055,067545,029057
0000000066,0000004333,081372,068353,028988
0000000067,0000004400,080679,069154,028935
0000000068,0000004467,079969,069937,028913
0000000069,0000004533,079250,070711,028907
0000000070,0000004600,078523,071476,028917
0000000071,0000004667,077780,072221,028958
0000000072,0000004733,077030,072956,029014
