0000000001,0000000000,082864,064196
0000000002,0000000067,083377,063371
0000000003,0000000133,083878,062544
0000000004,0000000200,084367,061716
0000000005,0000000267,084829,060886
0000000006,0000000333,085278,060056
0000000007,0000000400,085713,059225
0000000008,0000000467,086121,058395
0000000009,0000000533,086515,057566
0000000010,0000000600,086895,056738
0000000011,0000000667,087246,055912
0000000012,0000000733,087583,055088
0000000013,0000000800,087906,054267
0000000014,0000000867,088199,053450
0000000015,0000000933,088477,052637
0000000016,0000001000,088740,051827
0000000017,0000001067,088972,051025
0000000018,0000001133,089190,050226
0000000019,0000001200,089392,049433
0000000020,0000001267,089563,048648
0000000021,0000001333,089718,047870
0000000022,0000001400,089858,047096
0000000023,0000001467,089967,046335
0000000024,0000001533,090059,045580
0000000025,0000001600,090136,044832
0000000026,0000001667,090182,044098
0000000027,0000001733,090211,043371
0000000028,0000001800,090225,042652
0000000029,0000001867,090206,041950
0000000030,0000001933,090172,041256
0000000031,0000002000,090122,040570
0000000032,0000002067,090041,039903
0000000033,0000002133,089944,039245
0000000034,0000002200,089830,038597
0000000035,0000002267,089686,037969
0000000036,0000002333,089526,037351
0000000037,0000002400,089350,036744
0000000038,0000002467,089144,036158
0000000039,0000002533,088922,035584
0000000040,0000002600,088685,035021
0000000041,0000002667,088417,034482
0000000042,0000002733,088135,033955
0000000043,0000002800,087838,033440
0000000044,0000002867,087511,032949
0000000045,0000002933,087170,032472
0000000046,0000003000,086814,032007
0000000047,0000003067,086430,031569
0000000048,0000003133,086032,031144
0000000049,0000003200,085620,030733
0000000050,0000003267,085181,030349
0000000051,0000003333,084728,029979
0000000052,0000003400,084262,029623
0000000053,0000003467,083770,029296
0000000054,0000003533,083265,028983
0000000055,0000003600,082747,028685
0000000056,0000003667,082205,028416
0000000057,0000003733,081651,028162
0000000058,0000003800,081085,027923
0000000059,0000003867,080496,027714
0000000060,0000003933,079896,027521
0000000061,0000004000,079284,027342
0000000062,0000004067,078651,027195
0000000063,0000004133,078009,027062
0000000064,0000004200,077355,026945
0000000065,0000004267,076683,026860
0000000066,0000004333,076000,026790
0000000067,0000004400,075309,026735
0000000068,0000004467,074600,026712
0000000069,0000004533,073883,026704
0000000070,0000004600,073157,026712
0000000071,0000004667,072416,026752
0000000072,0000004733,071668,026806
0000000073,0000004800,070912,026877
0000000074,0000004867,070143,026979
0000000075,0000004933,069368,027096
0000000076,0000005000,068586,027229
0000000077,0000005067,067794,027392
0000000078,0000005133,066996,027571
0000000079,0000005200,066193,027765
0000000080,0000005267,065382,027990
0000000081,0000005333,064566,028229
0000000082,0000005400,063747,028483
0000000083,0000005467,062921,028767
0000000084,0000005533,062092,029066
0000000085,0000005600,061260,029379
0000000086,0000005667,060424,029721
0000000087,0000005733,059587,030077
0000000088,0000005800,058748,030448
0000000089,0000005867,057907,030846
0000000090,0000005933,057066,031257
0000000091,0000006000,056225,031683
0000000092,0000006067,055384,032135
0000000093,0000006133,054543,032599
0000000094,0000006200,053704,033077
0000000095,0000006267,052868,033580
0000000096,0000006333,052033,034096
0000000097,0000006400,051201,034623
0000000098,0000006467,050373,035175
0000000099,0000006533,049549,035738
0000000100,0000006600,048729,036312
0000000101,0000006667,047915,036909
0000000102,0000006733,047107,037516
0000000103,0000006800,046302,038134
0000000104,0000006867,045508,038773
0000000105,0000006933,044718,039421
0000000106,0000007000,043935,040079
0000000107,0000007067,043163,040756
0000000108,0000007133,042398,041441
0000000109,0000007200,041640,042136
0000000110,0000007267,040896,042847
0000000111,0000007333,040160,043566
0000000112,0000007400,039431,044293
0000000113,0000007467,038719,045034
0000000114,0000007533,038016,045782
0000000115,0000007600,037321,046537
0000000116,0000007667,036645,047305
0000000117,0000007733,035978,048078
0000000118,0000007800,035321,048857
0000000119,0000007867,034685,049646
0000000120,0000007933,034058,050440
0000000121,0000008000,033443,051239
0000000122,0000008067,032850,052045
0000000123,0000008133,032268,052855
0000000124,0000008200,031697,053669
0000000125,0000008267,031150,054488
0000000126,0000008333,030616,055309
0000000127,0000008400,030094,056133
0000000128,0000008467,029597,056961
0000000129,0000008533,029113,057789
0000000130,0000008600,028642,058618
0000000131,0000008667,028197,059449
0000000132,0000008733,027766,060280
0000000133,0000008800,027349,061110
0000000134,0000008867,026960,061939
0000000135,0000008933,026584,062767
0000000136,0000009000,026223,063594
0000000137,0000009067,025891,064417
0000000138,0000009133,025574,065238
0000000139,0000009200,025271,066056
0000000140,0000009267,024998,066868
0000000141,0000009333,024740,067677
0000000142,0000009400,024498,068482
0000000143,0000009467,024285,069279
0000000144,0000009533,024089,070071
0000000145,0000009600,023907,070859
0000000146,0000009667,023757,071636
0000000147,0000009733,023622,072407
0000000148,0000009800,023503,073172
0000000149,0000009867,023416,073925
0000000150,0000009933,023344,074671
0000000151,0000010000,023288,075410
0000000152,0000010067,023264,076134
0000000153,0000010133,023256,076850
0000000154,0000010200,023264,077558
0000000155,0000010267,023303,078249
0000000156,0000010333,023358,078932
0000000157,0000010400,023429,079605
0000000158,0000010467,023532,080260
0000000159,0000010533,023650,080904
0000000160,0000010600,023784,081539
0000000161,0000010667,023949,082153
0000000162,0000010733,024130,082757
0000000163,0000010800,024326,083350
0000000164,0000010867,024553,083920
0000000165,0000010933,024795,084479
0000000166,0000011000,025052,085026
0000000167,0000011067,025339,085549
0000000168,0000011133,025641,086060
0000000169,0000011200,025958,086559
0000000170,0000011267,026304,087032
0000000171,0000011333,026665,087492
0000000172,0000011400,027039,087939
0000000173,0000011467,027442,088360
0000000174,0000011533,027859,088767
0000000175,0000011600,028289,089160
0000000176,0000011667,028746,089525
0000000177,0000011733,029217,089876
0000000178,0000011800,029701,090213
0000000179,0000011867,030210,090521
0000000180,0000011933,030731,090814
0000000181,0000012000,031266,091093
0000000182,0000012067,031824,091342
0000000183,0000012133,032394,091576
0000000184,0000012200,032975,091795
0000000185,0000012267,033579,091984
