0000000001,0000000000,086707,068458
0000000002,0000000067,087221,067633
0000000003,0000000133,087722,066807
0000000004,0000000200,088210,065979
0000000005,0000000267,088672,065149
0000000006,0000000333,089121,064318
0000000007,0000000400,089556,063488
0000000008,0000000467,089964,062658
0000000009,0000000533,090358,061828
0000000010,0000000600,090738,061000
0000000011,0000000667,091090,060174
0000000012,0000000733,091427,059351
0000000013,0000000800,091749,058529
0000000014,0000000867,092042,057713
0000000015,0000000933,092320,056900
0000000016,0000001000,092583,056090
0000000017,0000001067,092815,055287
0000000018,0000001133,093033,054489
0000000019,0000001200,093235,053695
0000000020,0000001267,093406,052911
0000000021,0000001333,093561,052132
0000000022,0000001400,093701,051359
0000000023,0000001467,093810,050597
0000000024,0000001533,093903,049843
0000000025,0000001600,093980,049094
0000000026,0000001667,094025,048360
0000000027,0000001733,094054,047634
0000000028,0000001800,094068,046915
0000000029,0000001867,094050,046212
0000000030,0000001933,094016,045518
0000000031,0000002000,093966,044832
0000000032,0000002067,093884,044165
0000000033,0000002133,093787,043507
0000000034,0000002200,093674,042859
0000000035,0000002267,093529,042231
0000000036,0000002333,093369,041613
0000000037,0000002400,093194,041006
0000000038,0000002467,092987,040421
0000000039,0000002533,092765,039846
0000000040,0000002600,092528,039284
0000000041,0000002667,092261,038744
0000000042,0000002733,091978,038217
0000000043,0000002800,091681,037702
0000000044,0000002867,091355,037212
0000000045,0000002933,091013,036734
0000000046,0000003000,090658,036270
0000000047,0000003067,090274,035832
0000000048,0000003133,089875,035407
0000000049,0000003200,089463,034995
0000000050,0000003267,089024,034611
0000000051,0000003333,088571,034242
0000000052,0000003400,088105,033886
0000000053,0000003467,087613,033559
0000000054,0000003533,087108,033246
0000000055,0000003600,086591,032947
0000000056,0000003667,086048,032679
0000000057,0000003733,085494,032425
0000000058,0000003800,084928,032186
0000000059,0000003867,084339,031977
0000000060,0000003933,083739,031783
0000000061,0000004000,083128,031605
0000000062,0000004067,082495,031457
0000000063,0000004133,081852,031325
0000000064,0000004200,081199,031208
0000000065,0000004267,080526,031122
0000000066,0000004333,079844,031052
0000000067,0000004400,079152,030997
0000000068,0000004467,078443,030974
0000000069,0000004533,077726,030967
0000000070,0000004600,077001,030975
0000000071,0000004667,076259,031014
0000000072,0000004733,075511,031069
0000000073,0000004800,074755,031139
0000000074,0000004867,073986,031241
0000000075,0000004933,073211,031358
0000000076,0000005000,072430,031491
0000000077,0000005067,071637,031655
0000000078,0000005133,070839,031833
0000000079,0000005200,070037,032028
0000000080,0000005267,069225,032252
0000000081,0000005333,068409,032491
0000000082,0000005400,067590,032746
0000000083,0000005467,066764,033030
0000000084,0000005533,065935,033328
0000000085,0000005600,065104,033642
0000000086,0000005667,064268,033984
0000000087,0000005733,063430,034340
0000000088,0000005800,062591,034710
0000000089,0000005867,061751,035108
0000000090,0000005933,060909,035520
0000000091,0000006000,060068,035945
0000000092,0000006067,059227,036397
0000000093,0000006133,058387,036862
0000000094,0000006200,057547,037340
0000000095,0000006267,056711,037843
0000000096,0000006333,055876,038358
0000000097,0000006400,055044,038886
0000000098,0000006467,054217,039437
0000000099,0000006533,053393,040000
0000000100,0000006600,052572,040575
0000000101,0000006667,051759,041171
0000000102,0000006733,050950,041779
0000000103,0000006800,050145,042397
0000000104,0000006867,049351,043035
0000000105,0000006933,048562,043684
0000000106,0000007000,047778,044342
0000000107,0000007067,047007,045018
0000000108,0000007133,046242,045704
0000000109,0000007200,045484,046398
0000000110,0000007267,044740,047109
0000000111,0000007333,044003,047828
0000000112,0000007400,043275,048555
0000000113,0000007467,042563,049297
0000000114,0000007533,041859,050045
0000000115,0000007600,041164,050800
0000000116,0000007667,040488,051567
