0000000001,0000000000,082590,060277,082575,027565,060467,086865,030180,062006,030662,062058
0000000002,0000000067,083104,059452,083090,027968,059640,087362,030588,061143,031065,061198
0000000003,0000000133,083605,058625,083591,028387,058812,087845,031012,060280,031484,060337
0000000004,0000000200,084093,057797,084080,028821,057982,088314,031450,059415,031917,059475
0000000005,0000000267,084556,056967,084543,029285,057150,088756,031918,058549,032380,058613
0000000006,0000000333,085004,056137,084992,029763,056318,089183,032400,057684,032857,057750
0000000007,0000000400,085440,055307,085428,030257,055486,089596,032897,056818,033349,056888
0000000008,0000000467,085848,054476,085837,030779,054654,089980,033422,055955,033868,056028
0000000009,0000000533,086242,053647,086231,031315,053823,090349,033961,055093,034402,055168
0000000010,0000000600,086622,052819,086611,031864,052993,090703,034513,054232,034949,054311
0000000011,0000000667,086973,051993,086963,032442,052165,091027,035092,053375,035522,053457
0000000012,0000000733,087310,051170,087300,033032,051340,091336,035684,052521,036108,052606
0000000013,0000000800,087632,050348,087623,033635,050517,091629,036289,051670,036707,051758
0000000014,0000000867,087925,049532,087916,034264,049699,091892,036919,050825,037331,050917
0000000015,0000000933,088203,048718,088194,034905,048885,092139,037561,049984,037967,050079
0000000016,0000001000,088466,047908,088457,035559,048073,092370,038215,049147,038615,049245
0000000017,0000001067,088699,047106,088690,036236,047269,092569,038892,048318,039286,048420
0000000018,0000001133,088916,046308,088908,036925,046470,092752,039580,047495,039968,047600
0000000019,0000001200,089118,045514,089110,037624,045675,092919,040280,046677,040661,046785
0000000020,0000001267,089289,044729,089281,038346,044889,093054,041001,045870,041376,045981
0000000021,0000001333,089445,043951,089436,039078,044109,093173,041731,045069,042100,045183
0000000022,0000001400,089585,043178,089576,039820,043335,093275,042472,044274,042834,044392
0000000023,0000001467,089693,042416,089684,040583,042573,093345,043232,043493,043588,043614
0000000024,0000001533,089786,041661,089777,041354,041817,093399,044001,042719,044350,042843
0000000025,0000001600,089863,040913,089854,042134,041068,093436,044779,041952,045122,042080
0000000026,0000001667,089908,040179,089899,042933,040333,093440,045574,041202,045910,041332
0000000027,0000001733,089938,039453,089928,043739,039606,093428,046377,040459,046706,040593
0000000028,0000001800,089951,038734,089941,044553,038886,093400,047188,039725,047511,039862
0000000029,0000001867,089933,038031,089922,045383,038182,093338,048014,039009,048329,039149
0000000030,0000001933,089899,037337,089888,046219,037488,093261,048846,038302,049155,038445
0000000031,0000002000,089849,036651,089837,047063,036802,093167,049685,037605,049987,037751
0000000032,0000002067,089768,035984,089755,047919,036134,093041,050536,036927,050832,037077
0000000033,0000002133,089670,035326,089658,048782,035475,092898,051393,036260,051682,036413
0000000034,0000002200,089557,034678,089544,049650,034827,092739,052256,035603,052538,035759
0000000035,0000002267,089413,034050,089399,050528,034198,092548,053128,034968,053403,035127
0000000036,0000002333,089253,033432,089238,051411,033580,092341,054005,034344,054273,034506
0000000037,0000002400,089077,032825,089062,052298,032973,092119,054886,033732,055147,033897
0000000038,0000002467,088870,032239,088855,053193,032387,091864,055774,033143,056029,033311
0000000039,0000002533,088649,031665,088632,054092,031813,091595,056666,032566,056914,032737
0000000040,0000002600,088412,031103,088394,054994,031250,091309,057560,032002,057801,032175
0000000041,0000002667,088144,030563,088126,055901,030711,090993,058459,031463,058694,031639
0000000042,0000002733,087862,030036,087843,056810,030184,090662,059361,030936,059588,031115
0000000043,0000002800,087565,029521,087545,057721,029669,090315,060263,030423,060485,030604
0000000044,0000002867,087238,029031,087217,058634,029179,089939,061169,029936,061383,030120
0000000045,0000002933,086897,028553,086875,059549,028702,089548,062074,029463,062282,029650
0000000046,0000003000,086541,028089,086518,060464,028237,089142,062980,029003,063182,029193
0000000047,0000003067,086157,027650,086133,061379,027799,088708,063886,028572,064081,028764
0000000048,0000003133,085759,027225,085734,062293,027375,088260,064791,028154,064980,028349
0000000049,0000003200,085347,026814,085321,063207,026964,087798,065695,027751,065878,027948
0000000050,0000003267,084907,026430,084880,064118,026581,087308,066597,027378,066773,027577
0000000051,0000003333,084455,026060,084427,065028,026212,086805,067496,027019,067666,027220
0000000052,0000003400,083989,025705,083959,065935,025856,086289,068393,026674,068557,026879
0000000053,0000003467,083496,025377,083466,066838,025530,085746,069285,026361,069443,026567
0000000054,0000003533,082992,025065,082960,067737,025218,085191,070174,026062,070325,026270
0000000055,0000003600,082474,024766,082441,068633,024920,084624,071059,025779,071204,025989
0000000056,0000003667,081932,024497,081898,069522,024652,084031,071936,025527,072076,025739
0000000057,0000003733,081378,024243,081342,070406,024399,083428,072808,025290,072943,025505
0000000058,0000003800,080812,024004,080775,071285,024161,082812,073677,025069,073805,025286
